"id","name"
"skvr_176","Pfaler, K. A."
"skvr_177","Pitkänen, Antti"
"skvr_178","Puhakka, A."
"skvr_179","Rantasalo, V."
"skvr_180","Rautiainen, O. H."
"skvr_181","Reponen, Astrid"
"skvr_182","Riikonen, J."
"skvr_183","Ronkainen, V."
"skvr_184","Rosenback, J. A."
"skvr_185","Salovaara, Ilmari"
"skvr_186","Smirnoff, Miron"
"skvr_187","Juslenius, Daniel"
"skvr_188","Suhonen, Hilja"
"skvr_189","Tereska, Jaakko"
"skvr_190","Walldén, E. V."
"skvr_191","Vartiainen, Antero"
"skvr_192","Vauhkonen, Pekka"
"skvr_193","Vesterlund, A."
"skvr_194","Vichman, Emil"
"skvr_195","Pelkonen, Martta"
"skvr_196","Rahkonen, Aleksanteri"
"skvr_197","Lesojeff, Petter"
"skvr_198","Karttunen, K. J."
"skvr_199","Aminoff, Torsten Gustav"
"skvr_200","Arwidsson, A. I."
"skvr_201","Helminen, Helmi"
"skvr_202","Kettunen, Lauri"
"skvr_204","Matson, Ole"
"skvr_205","Rapola, Martti"
"skvr_206","Segerstedt, Albrekt"
"skvr_207","Skogman, David."
"skvr_208","Ahlman, F. F."
"skvr_209","Ahonen, Severi"
"skvr_210","Andersén, V. J."
"skvr_211","Brask, G. F."
"skvr_212","Böök, David"
"skvr_213","Carlenius, O. A. J."
"skvr_214","Castrén, J. W."
"skvr_215","Ekberg, K."
"skvr_216","Ellonen, A."
"skvr_217","Helsingin Suomalaisen Alkeisopiston konventti"
"skvr_218","Enäjärvi-Haavio, Elsa"
"skvr_219","Eskelinen, Lauri"
"skvr_220","Europaeus, Charlotte"
"skvr_221","Fabritius, Elin"
"skvr_222","Ganander, Christfrid"
"skvr_223","Giers, C. R."
"skvr_224","Haataja, Heikki"
"skvr_225","Haavio, Martti"
"skvr_226","Hahnsson, Hilja"
"skvr_227","Rakolainen, A. H."
"skvr_228","Halonen, Hj."
"skvr_229","Haronen, Ester"
"skvr_230","Heikkinen, Edith"
"skvr_231","Helsingin tyttökoululaisia"
"skvr_232","Hintikka, E. A."
"skvr_233","Ripatti, Sylvi"
"skvr_234","Hirsikoski, Hilda"
"skvr_235","Hirvonen, J. V."
"skvr_236","Hornborg, K. H."
"skvr_237","Husgafvel, Konstantin"
"skvr_238","Huuskonen, Aug."
"skvr_239","Hynninen, E. W."
"skvr_240","Hynninen, O."
"skvr_241","Rytkönen, Ahti"
"skvr_242","Rytkönen, Aleksander"
"skvr_243","Rytkönen, Kalle"
"skvr_244","Hytönen, V."
"skvr_245","Hyyryläinen, O."
"skvr_246","Hämeenlinnan alakansakouluseminaari"
"skvr_247","Heporauta, F. A."
"skvr_248","Räsänen, Otto"
"skvr_249","Häyhä, Johannes"
"skvr_250","Ignatius, K."
"skvr_251","Itkonen, Vilho"
"skvr_252","Jakobson, A. V."
"skvr_253","Jakonen, Rauha"
"skvr_254","Mähönen, Jooseppi"
"skvr_255","Jäkälä, Juho"
"skvr_256","Jäntti, V. G."
"skvr_257","Järvi, Hanna"
"skvr_258","Kalervo, Pekka"
"skvr_259","Kaltiala, J. P."
"skvr_260","Kantele, Toini"
"skvr_261","Karttunen, Eino"
"skvr_262","Kaukonen, Väinö"
"skvr_263","Kauppis-Heikki"
"skvr_264","Kemppi, A."
"skvr_265","Kinnunen, A."
"skvr_266","Kivelä, Iida"
"skvr_267","Kohonen, Anni"
"skvr_268","Kohvakka, Toini"
"skvr_269","Koistinen, Olli"
"skvr_270","Kokkonen, Aapeli"
"skvr_271","Kolehmainen, Albin"
"skvr_272","Komulainen, Elias"
"skvr_273","Koskimies, A. V."
"skvr_274","Kotikoski, J. W."
"skvr_275","Kotkanen, Väinö"
"skvr_276","Kouvo, Henrik"
"skvr_277","Kuitunen, Oskari"
"skvr_278","Kytö, A."
"skvr_279","Kärkkäinen, V. J."
"skvr_280","Kärävä, Aug."
"skvr_281","Lahtelin, Tyyne"
"skvr_282","Laitinen, G."
"skvr_283","Lampen, E."
"skvr_284","Lampinen, A."
"skvr_285","Lavonius, Vilhelm"
"skvr_286","Lindeman, Olga"
"skvr_287","Loukola, Ludvig"
"skvr_288","Lundqvist, Ingeborg"
"skvr_289","Luukkonen, Kerttu"
"skvr_290","Lyytikäinen, Anni"
"skvr_291","Lång, E."
"skvr_292","Makkonen, T. V."
"skvr_293","Manninen, W."
"skvr_294","Matilainen, Taavi"
"skvr_295","Mattila, Tuomas"
"skvr_296","Maxenius, Gabriel"
"skvr_297","Meriläinen, P."
"skvr_298","Mesiäinen, Hilma"
"skvr_299","Niiranen, Lauri"
"skvr_300","Nissinen, Alli"
"skvr_301","Nousiainen, Oskari"
"skvr_302","Nousiainen, V."
"skvr_303","Okkola, T. E."
"skvr_304","Oksman, Maria"
"skvr_305","Ora, Yrjö"
"skvr_306","Osmonsalo, Erkki"
"skvr_307","Paasonen, Julius"
"skvr_308","Paloheimo, Anni"
"skvr_309","Palonurmen kansakoulun oppilaat"
"skvr_310","Pasanen, T."
"skvr_311","Pelkonen, Antero"
"skvr_312","Petelius, Juhani"
"skvr_313","Porthan, Henrik Gabriel"
"skvr_314","Pulkkinen, Heikki"
"skvr_315","Puranen, Anni"
"skvr_316","Puranen, Hilda"
"skvr_317","Pöyry, Taavi"
"skvr_318","Rautell, E. F."
"skvr_319","Rimppi, Al."
"skvr_320","Rissanen, Santeri"
"skvr_321","Ruotsalainen, L."
"skvr_322","Ruotsalainen, Ville"
"skvr_323","Ruottinen, J."
"skvr_324","Ruuttu, Maria"
"skvr_325","Räihä, Antti"
"skvr_326","Salenius, J. M."
"skvr_327","Savokarjalainen Osakunta"
"skvr_328","Savolainen, Iivari"
"skvr_329","Schadewitz, G."
"skvr_330","Schadewitz, L."
"skvr_331","Schadewitz, Martti"
"skvr_332","Schlüter, J. G."
"skvr_333","Seppälä, G."
