t010100_1580	Laivaretki
t010100_1590	Laivassa surmattu veli
t010100_1600	Lapista, Turjan maalta, lintu, yksi siipi vettä viisti
t010100_1610	Lapsenetsintävirsi
t010100_1620	Lauri Lappalainen
t010100_1630	Lehmä teki valkean vasikan
t010100_1640	Leino leski
t010100_1650	Lemminkäisen surma
t010100_1660	Lemminkäisen virsi
t010100_1670	Lensi lintu linnan päälle
t010100_1680	Lesken neidot kuuksi ja tähdiksi
t010100_1690	Leskimies ja nuorimies kosijoina
t010100_1700	Likainen neito
t010100_1710	Lintu Jeesuksen lentämä
t010100_1720	Lintu laskeusi Lapista
t010100_1730	Lintujen käräjät
t010100_1740	Lintunen lehossa lauloi
t010100_1750	Lintunen lehossa lauloi, kelle annan tyttäreni
t010100_1760	Lintuparvi ja poika
t010100_1770	Lohikäärme ja neito
t010100_1780	Luikku lehmän luusta*M
t010100_1790	Lunastettava neito
t010100_1800	Luoja ja Maaria pakenevat Juutaan joukkoa
t010100_1810	Luojan laivaretki
t010100_1830	Luutaan lehosta
t010100_1840	Lähti poikani sotah
t010100_1850	Läksi poika kuuvalolla neittä noutamaan
t010100_1860	Läksi suohon sortumaan
t010100_1870	Läksin linnaan likaksi
t010100_1880	Läksin metsään makaamaan
t010100_1890	Läksin nuotalle kotonta
t010100_1900	Läksin piennä paimeneen
t010100_1910	Läksin rannalle merelle, ei ollut meressä vettä
t010100_1920	Läksin suolle sotkuilleni, kolkutin kodan ovea
t010100_1930	Löi kahta kämmentänsä
t010100_1940	Löysin karjan kankahalta, panin paimenen papiksi
t010100_1950	Löysin neitosen lehosta
t010100_1960	Löysin ruoskan Ruotsin maalta
t010100_1970	Löysin verkaa palasen
t010100_1980	Maailmansyntyruno
t010100_1990	Maaria ja Kristus kuljeksimassa
t010100_2000	Maaria siteli silkillä, jottei rätti räpsähtäis
t010100_2010	Maie
t010100_2020	Maija makkaran varasti
t010100_2030	Mansikka mäeltä huusi
t010100_2040	Marjatiellä kadonnut tyttö
t010100_2050	Marjavirsi
t010100_2060	Marjoi pervoi neitsykäinen löi päivällä vetoa
t010100_2070	Marketan runo
t010100_2080	Mataleenan virsi
t010100_2090	Mehiläinen viestinviejänä
t010100_2100	Menin metsään kontimaan
t010100_2110	Mereen silta yksiöisistä vesoista
t010100_2120	Merellä veneessä neito
t010100_2130	Meren ajoa odottavat
t010100_2140	Meren kosijat
t010100_2150	Meren neito, metsän sulho
t010100_2160	Meren neito tavoittelee uivaa tyttöä
t010100_2170	Meri kuivi kuutta syltä
t010100_2180	Messu miekka vyöllä
t010100_2190	Meteli veteli Venon kivi
t010100_2200	Metsästä tarvepuita hakemassa
t010100_2210	Metsät miekka vyöllä
t010100_2220	Metsään eksynyt emo
t010100_2230	Metsään menijän löytö
t010100_2240	Miehentappajaneito
t010100_2250	Miehet sodassa
t010100_2260	Miekan tai keihään kuvaus
t010100_2270	Miekka merestä
t010100_2280	Mies tuli vierailta mailta
t010100_2290	Mihin panen rahani
t010100_2300	Miikkula rukoilee Luojaa asettamaan aallot
t010100_2310	Miksi on utuinen ilma
t010100_2320	Miltä maalta sukuisin
t010100_2330	Miniän jalka kipeä
t010100_2340	Minä menin metsään
t010100_2350	Myyty neito
t010100_2360	Nai vanha nuoresta
t010100_2370	Nain naisen pikkaraisen, talo käski tappamaan
t010100_2380	Neiden rosvo
t010100_2390	Neidolta marjassa nännät putosi
t010100_2400	Neidon kaksi kosijaa
t010100_2410	Neidon kankaankudonta
t010100_2420	Neidot ja kyppä
t010100_2430	Neitinen meni ve´elle
t010100_2440	Neito kyntäjänä
t010100_2450	Neitoa kositaan eri paikkoihin
t010100_2460	Neljän neidon runo
t010100_2470	Nimettömät taudit
t010100_2480	Noidille Viroon
t010100_2490	Nuijasota
t010100_2500	Nuorena sotaan viety veli
t010100_2510	Nurmen neito
t010100_2520	Nyt anto kovat ajat Jumala
t010100_2530	Näitkö, kokko, taattoani?
t010100_2540	Nälkävuosi
t010100_2550	Nälän kulku
t010100_2560	Näätä ansassa
t010100_2570	Ogoi ja papinpoika
t010100_2580	Ohran kylvö
t010100_2590	Olin orja vellolleni
t010100_2600	Olin orjana Virossa
t010100_2610	Oljamissa käynti
t010100_2620	Olkinen oronen
t010100_2630	Oluen synty
t010100_2640	Oluen teko ja myynti
t010100_2650	Onko Otava, tähdet ja taivas oikein osattu
t010100_2660	Onkos teistä miehen naista?
t010100_2670	Onkos tuota teiän maalla - koivu, tammi, kuusi
t010100_2680	Onni tuli ojalta koille
t010100_2690	Orpolasten hoitajien laulu
t010100_2700	Osapoika, onnipoika
t010100_2720	Paennut vanki
t010100_2730	Pahan sulhon saanut
t010100_2740	Pani lesket leikkoamahan
t010100_2750	Pauloja punova paha mies
t010100_2760	Pentin linna
t010100_2770	Petetty morsian
t010100_2780	Petri kuuluisa kuningas
t010100_2790	Pettelikko sulhanen
t010100_2800	Pietari sytytti taivaassa kynttilät
t010100_2810	Piispa Henrikin surmavirsi
t010100_2820	Pilviin kadonnut poika
t010100_2830	Pilvilampi
t010100_2840	Piru repäisi emännän reiden
t010100_2850	Poikako vai tyttö?
t010100_2860	Polvenhaava
t010100_2870	Puita puuttu purren seppä
t010100_2880	Punaparran sota
t010100_2890	Purren itku
t010100_2900	Pyhän pohrosan uni
t010100_2910	Pyssy pilattu ampumaan mennessä
t010100_2920	Päivän kera kilpaa
t010100_2930	Päivän päästö
t010100_2940	Päänpesu porolla ja lipeällä
t010100_2950	Pääskynen sotaan läksi
t010100_2960	Päätään pesemätön tyttö
t010100_2965	Rajasota
t010100_2970	Riihenpuinti
t010100_2980	Rikoilla kuuntelija
t010100_2990	Ristitty metsä
t010100_3000	Rujo neito
t010100_3010	Rukous Isonvihan ajoilta
t010100_3020	Rutsa
t010100_3030	Ryöstettyjen neitojen laulu
t010100_3040	Saaren maat saroin jaettu
t010100_3050	Saaren neidot
t010100_3060	Saarenmaan palo
t010100_3070	Saaresta kosinta
t010100_3080	Sadan hevosen satulointi
t010100_3090	Sairastava neito
t010100_3100	Sammon ryöstö
t010100_3110	Sammon taonta
t010100_3120	Sarvesta olutta
t010100_3130	Satoi ukko uutta lunta
t010100_3140	Saunanhakuvirsi
t010100_3150	Savosta nainut
t010100_3160	Sedän soitto pidoissa
t010100_3180	Seppäseni, selväseni, tao minulle
t010100_3190	Sepäksi neuvottu
t010100_3200	Silta ja kirkko
t010100_3210	Sinisiipi linnukkainen
t010100_3220	Sinon kylväjä
t010100_3230	Sodan kuvaus
t010100_3240	Soitan suolla mennessäni
t010100_3250	Soittajalle menijä
t010100_3260	Soittamalla nukuttaminen
t010100_3270	Soljella sotaan
t010100_3280	Sormin soutaminen
t010100_3290	Sormus kadonnut
t010100_3300	Sorsanmunasta neito
t010100_3310	Sota Narvan tienoilla
t010100_3320	Sotaan mennyttä veljeä katsomaan
t010100_3330	Sotaan rikas, köyhä kotiin
t010100_3340	Sotaanlähtijän virsi
t010100_3350	Sotamiehenotto
t010100_3360	Sotamiesten pilaama tyttö
t010100_3370	Sotasanomat
t010100_3380	Suka mereen
t010100_3390	Sulhasen kuolema
